EventId_x,Type_x,Severity_x,Type_y,Severity_y,Distance(mi),Side
W-4994833,Rain,Heavy,Congestion,2.0,0.0,R
W-2351435,Rain,Light,Congestion,2.0,0.0,L
W-202418,Rain,Moderate,Congestion,2.0,0.0,L
W-202419,Precipitation,UNK,Congestion,2.0,0.0,L
W-2191399,Rain,Light,Congestion,2.0,0.0,R
W-202420,Rain,Heavy,Congestion,2.0,0.0,L
W-4508570,Rain,Light,Broken-Vehicle,3.0,0.0,R
W-5703221,Rain,Light,Congestion,2.0,0.0,R
W-5767663,Rain,Light,Congestion,1.0,0.0,R
W-4994834,Rain,Light,Congestion,2.0,0.0,R
W-5767664,Rain,Moderate,Congestion,1.0,0.0,R
W-278608,Rain,Light,Congestion,1.0,0.0,L
W-4994835,Rain,Moderate,Congestion,2.0,0.0,R
W-5767665,Rain,Heavy,Lane-Blocked,3.0,0.0,R
W-3907475,Rain,Light,Broken-Vehicle,3.0,0.0,R
W-202421,Rain,Light,Congestion,1.0,0.0,R
W-4994836,Rain,Heavy,Congestion,2.0,0.0,R
W-5772630,Rain,Moderate,Lane-Blocked,3.0,0.0,R
W-4994837,Rain,Light,Congestion,2.0,0.0,R
W-5767666,Rain,Light,Lane-Blocked,3.0,0.0,R
W-4994838,Rain,Moderate,Congestion,2.0,0.0,R
W-5772631,Rain,Light,Lane-Blocked,3.0,0.0,R
W-5767667,Rain,Moderate,Lane-Blocked,3.0,0.0,R
W-2191400,Rain,Heavy,Lane-Blocked,3.0,0.0,R
W-4994839,Rain,Light,Congestion,1.0,0.0,R
W-1559080,Rain,Light,Construction,2.0,0.0,R
W-4637859,Fog,Moderate,Congestion,2.0,0.0,R
W-3934461,Fog,Moderate,Congestion,2.0,0.0,L
W-1535188,Fog,Moderate,Congestion,2.0,0.0,L
W-2849571,Rain,Light,Accident,2.0,0.0,R
W-109187,Rain,Light,Congestion,1.0,0.0,L
W-1559081,Rain,Light,Flow-Incident,2.0,0.0,R
W-4508571,Fog,Moderate,Congestion,1.0,0.0,R
W-1317124,Cold,Severe,Broken-Vehicle,3.0,0.0,R
W-2772418,Fog,Moderate,Accident,3.0,0.0,R
W-4296593,Rain,Light,Lane-Blocked,3.0,0.0,R
W-1559082,Rain,Light,Accident,2.0,0.0,L
W-2892741,Rain,Light,Congestion,1.0,0.0,L
W-1559083,Rain,Light,Accident,2.0,0.0,R
W-3529212,Fog,Moderate,Congestion,2.0,0.0,R
W-2589337,Rain,Light,Congestion,2.0,0.0,L
W-2892742,Rain,Light,Congestion,1.0,0.0,L
W-2849574,Rain,Light,Congestion,2.0,0.0,R
W-1789790,Rain,Light,Lane-Blocked,2.0,0.0,L
W-5026019,Rain,Light,Congestion,1.0,0.0,R
W-4508572,Rain,Light,Broken-Vehicle,3.0,0.0,R
W-3907476,Rain,Light,Congestion,1.0,0.0,L
W-1317126,Rain,Light,Congestion,1.0,0.0,R
W-1008462,Rain,Light,Congestion,1.0,0.0,R
W-1712993,Rain,Light,Congestion,1.0,0.0,R
W-1317127,Cold,Severe,Congestion,1.0,0.0,R
W-3452038,Rain,Light,Congestion,2.0,0.0,R
W-1523834,Rain,Light,Congestion,1.0,0.0,R
W-5324561,Rain,Light,Congestion,1.0,0.0,L
W-1712994,Fog,Severe,Congestion,1.0,0.0,R
W-3452039,Fog,Severe,Congestion,2.0,0.0,R
W-1712995,Rain,Heavy,Congestion,1.0,0.0,L
W-1523835,Rain,Moderate,Congestion,1.0,0.0,R
W-1523836,Rain,Light,Congestion,1.0,0.0,R
W-3452040,Rain,Light,Congestion,2.0,0.0,R
W-3787576,Rain,Light,Congestion,2.0,0.0,R
W-114613,Rain,Light,Congestion,1.0,0.0,R
W-5324562,Rain,Light,Congestion,1.0,0.0,L
W-202422,Rain,Light,Congestion,1.0,0.0,R
W-2351436,Rain,Light,Congestion,1.0,0.0,R
W-4276027,Rain,Light,Congestion,0.0,0.0,L
W-2589338,Rain,Light,Congestion,1.0,0.0,L
W-3170994,Rain,Light,Congestion,1.0,0.0,R
W-4002831,Rain,Light,Congestion,1.0,0.0,R
W-2892743,Rain,Light,Congestion,1.0,0.0,L
W-202423,Fog,Moderate,Congestion,1.0,0.0,R
W-1712996,Rain,Moderate,Congestion,1.0,0.0,R
W-5324563,Rain,Light,Congestion,1.0,0.0,L
W-5083275,Rain,Light,Congestion,1.0,0.0,R
W-2351437,Rain,Heavy,Congestion,1.0,0.0,R
W-4508573,Rain,Light,Congestion,2.0,0.0,R
W-4606584,Rain,Light,Congestion,1.0,0.0,L
W-1317128,Rain,Light,Congestion,1.0,0.0,L
W-3170995,Rain,Light,Congestion,1.0,0.0,R
W-1712997,Rain,Light,Congestion,1.0,0.0,L
W-5746476,Rain,Light,Congestion,1.0,0.0,R
W-1712998,Rain,Light,Congestion,1.0,0.0,R
W-4508574,Rain,Light,Accident,3.0,0.0,R
W-1317129,Cold,Severe,Congestion,1.0,0.0,R
W-4002832,Rain,Moderate,Flow-Incident,2.0,0.0,R
W-2351438,Rain,Light,Flow-Incident,2.0,0.0,L
W-1317130,Rain,Light,Congestion,1.0,0.0,R
W-2849575,Rain,Light,Accident,2.0,0.0,R
W-5496853,Rain,Light,Congestion,1.0,0.0,R
W-4428183,Rain,Light,Accident,3.0,0.0,R
W-1124526,Rain,Light,Accident,3.0,0.0,L
W-5418845,Rain,Light,Congestion,1.0,0.0,R
W-2013063,Rain,Light,Congestion,2.0,0.0,R
W-202424,Rain,Light,Flow-Incident,2.0,0.0,R
W-1317131,Cold,Severe,Construction,2.0,0.0,R
W-1378975,Fog,Moderate,Congestion,1.0,0.0,L
