EventId_x,Type_x,Severity_x,Type_y,Severity_y,Distance(mi),Side
W-4994833,Rain,Heavy,Congestion,2.0,0.0,R
W-2351435,Rain,Light,Congestion,2.0,0.0,L
W-202418,Rain,Moderate,Congestion,2.0,0.0,L
W-202419,Precipitation,UNK,Congestion,2.0,0.0,L
W-2191399,Rain,Light,Congestion,2.0,0.0,R
W-202420,Rain,Heavy,Congestion,2.0,0.0,L
W-5703221,Rain,Light,Congestion,2.0,0.0,R
W-5767663,Rain,Light,Congestion,1.0,0.0,R
W-4994834,Rain,Light,Congestion,2.0,0.0,R
W-5767664,Rain,Moderate,Congestion,1.0,0.0,R
W-278608,Rain,Light,Congestion,1.0,0.0,L
W-4994835,Rain,Moderate,Congestion,2.0,0.0,R
W-5767665,Rain,Heavy,Lane-Blocked,3.0,0.0,R
W-202421,Rain,Light,Congestion,1.0,0.0,R
W-4994836,Rain,Heavy,Congestion,2.0,0.0,R
W-5772630,Rain,Moderate,Lane-Blocked,3.0,0.0,R
W-4994837,Rain,Light,Congestion,2.0,0.0,R
W-5767666,Rain,Light,Lane-Blocked,3.0,0.0,R
W-4994838,Rain,Moderate,Congestion,2.0,0.0,R
W-5772631,Rain,Light,Lane-Blocked,3.0,0.0,R
W-5767667,Rain,Moderate,Lane-Blocked,3.0,0.0,R
W-2191400,Rain,Heavy,Lane-Blocked,3.0,0.0,R
W-4994839,Rain,Light,Congestion,1.0,0.0,R
W-1317124,Cold,Severe,Broken-Vehicle,3.0,0.0,R
W-2892741,Rain,Light,Congestion,1.0,0.0,L
W-2892742,Rain,Light,Congestion,1.0,0.0,L
W-1317126,Rain,Light,Congestion,1.0,0.0,R
W-1712993,Rain,Light,Congestion,1.0,0.0,R
W-1317127,Cold,Severe,Congestion,1.0,0.0,R
W-1523834,Rain,Light,Congestion,1.0,0.0,R
W-1712994,Fog,Severe,Congestion,1.0,0.0,R
W-1712995,Rain,Heavy,Congestion,1.0,0.0,L
W-1523835,Rain,Moderate,Congestion,1.0,0.0,R
W-1523836,Rain,Light,Congestion,1.0,0.0,R
W-202422,Rain,Light,Congestion,1.0,0.0,R
W-2351436,Rain,Light,Congestion,1.0,0.0,R
W-2892743,Rain,Light,Congestion,1.0,0.0,L
W-202423,Fog,Moderate,Congestion,1.0,0.0,R
W-1712996,Rain,Moderate,Congestion,1.0,0.0,R
W-5083275,Rain,Light,Congestion,1.0,0.0,R
W-2351437,Rain,Heavy,Congestion,1.0,0.0,R
W-1317128,Rain,Light,Congestion,1.0,0.0,L
W-1712997,Rain,Light,Congestion,1.0,0.0,L
W-5746476,Rain,Light,Congestion,1.0,0.0,R
W-1712998,Rain,Light,Congestion,1.0,0.0,R
W-1317129,Cold,Severe,Congestion,1.0,0.0,R
W-2351438,Rain,Light,Flow-Incident,2.0,0.0,L
W-1317130,Rain,Light,Congestion,1.0,0.0,R
W-5496853,Rain,Light,Congestion,1.0,0.0,R
W-1124526,Rain,Light,Accident,3.0,0.0,L
W-5418845,Rain,Light,Congestion,1.0,0.0,R
W-2013063,Rain,Light,Congestion,2.0,0.0,R
W-202424,Rain,Light,Flow-Incident,2.0,0.0,R
W-1317131,Cold,Severe,Construction,2.0,0.0,R
W-1378975,Fog,Moderate,Congestion,1.0,0.0,L
W-1633930,Rain,Light,Congestion,2.0,0.0,R
W-5746477,Rain,Light,Accident,2.0,0.0,R
W-1124527,Rain,Light,Congestion,2.0,0.0,R
W-1633931,Rain,Light,Congestion,2.0,0.0,R
W-2892748,Rain,Light,Congestion,1.0,0.0,R
W-5746478,Rain,Light,Congestion,1.0,0.0,R
W-5746479,Fog,Severe,Congestion,1.0,0.0,R
W-5012746,Rain,Heavy,Congestion,1.0,0.0,R
W-5746481,Rain,Moderate,Congestion,1.0,0.0,R
W-2892749,Rain,Light,Congestion,2.0,0.0,R
W-1633936,Rain,Light,Accident,3.0,0.0,R
W-5012748,Rain,Light,Congestion,2.0,0.0,R
W-5746483,Rain,Light,Accident,2.0,0.0,R
W-1124529,Rain,Light,Congestion,2.0,0.0,R
W-5418849,Rain,Light,Congestion,2.0,0.0,R
W-1124530,Rain,Light,Accident,3.0,0.0,R
W-1378976,Fog,Moderate,Accident,2.0,0.0,R
W-5418850,Rain,Light,Flow-Incident,3.0,0.0,R
W-2892750,Rain,Light,Congestion,1.0,0.0,L
W-1124531,Rain,Light,Congestion,2.0,0.0,R
W-2892751,Rain,Light,Congestion,1.0,0.0,L
W-1317135,Cold,Severe,Congestion,0.0,0.0,R
W-2013064,Rain,Light,Accident,2.0,0.0,R
W-5496856,Rain,Light,Lane-Blocked,2.0,0.0,R
W-1317136,Cold,Severe,Broken-Vehicle,2.0,0.0,R
W-303324,Cold,Severe,Congestion,1.0,0.0,L
W-1317137,Rain,Light,Congestion,2.0,0.0,R
W-1317138,Cold,Severe,Congestion,2.0,0.0,R
W-303325,Rain,Light,Congestion,1.0,0.0,L
W-1712999,Rain,Light,Congestion,1.0,0.0,L
W-1186925,Rain,Light,Congestion,2.0,0.0,R
W-1186926,Rain,Moderate,Congestion,2.0,0.0,R
W-1186927,Rain,Light,Congestion,2.0,0.0,R
W-1186928,Fog,Moderate,Congestion,2.0,0.0,R
W-1186929,Rain,Light,Congestion,2.0,0.0,R
W-1713000,Rain,Light,Congestion,0.0,0.0,L
W-4994840,Rain,Light,Congestion,1.0,0.0,L
W-1186930,Precipitation,UNK,Congestion,1.0,0.0,L
W-1713001,Rain,Light,Congestion,0.0,0.0,L
W-202425,Rain,Light,Congestion,0.0,0.0,R
W-979885,Rain,Light,Congestion,1.0,0.0,R
W-2351439,Rain,Light,Congestion,0.0,0.0,R
