EventId_x,Type_x,Severity_x,StartTime(UTC),EndTime(UTC)_x,TimeZone_x,LocationLat_x,LocationLng_x,AirportCode_x,City,County_x,State,ZipCode_x,EventId_y,Type_y,Severity_y,TMC,Description,EndTime(UTC)_y,TimeZone_y,LocationLat_y,LocationLng_y,Distance(mi),AirportCode_y,Number,Street,Side,County_y,ZipCode_y,adjacency
W-1124526,Rain,Light,2016-08-01 23:46:00,2016-08-02 01:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1106716,Accident,3.0,248.0,Delays expected due to accident on I-95 Southbound at Exit 39 / FL-834 Sample Rd / FL-834 36th St.,2016-08-02 01:01:46,US/Eastern,26.275387,-80.127045,0.0,KPMP,250.0,NW 37th St,L,Broward,33064.0,1
W-1124527,Rain,Light,2016-08-02 02:28:00,2016-08-02 02:43:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1106771,Congestion,2.0,70.0,Severe delays of 21 minutes on Rock Island Rd Northbound in Coral Springs. Average speed five mph.,2016-08-02 03:08:45,US/Eastern,26.206873,-80.220055,0.0,KFXE,1500.0,Rock Island Rd,R,Broward,33068.0,1
W-1124529,Rain,Light,2016-08-02 11:49:00,2016-08-02 12:04:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1106930,Congestion,2.0,74.0,Delays increasing and delays of five minutes on I-95 Southbound between Exits 42 42A 42B FL-810 Hillsboro Blvd and Exits 38 38A 38B Copans Rd. Average speed 30 mph.,2016-08-02 12:05:38,US/Eastern,26.25956,-80.134148,0.0,KFXE,,I-95 S,R,Broward,33069.0,1
W-1124530,Rain,Light,2016-08-02 12:13:00,2016-08-02 12:28:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1107011,Accident,3.0,201.0,Accident on I-95 Southbound at Exit 39 FL-834 Sample Rd.,2016-08-02 13:02:49,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
W-1124531,Rain,Light,2016-08-02 14:31:00,2016-08-02 15:40:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1107103,Congestion,2.0,75.0,Delays of four minutes on I-95 Southbound between Exits 42 42A 42B FL-810 Hillsboro Blvd and Exits 36 36A 36B FL-814 Atlantic Blvd. Average speed 35 mph.,2016-08-02 13:56:20,US/Eastern,26.245729,-80.136711,0.0,KFXE,,I-95 S,R,Broward,33069.0,1
W-1124532,Rain,Light,2016-08-02 21:12:00,2016-08-02 22:33:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1107772,Congestion,2.0,75.0,Delays increasing and delays of three minutes on Florida's Tpke Southbound in Coral Springs. Average speed 25 mph.,2016-08-02 21:40:35,US/Eastern,26.206612,-80.198685,0.0,KFXE,,Florida's Tpke S,R,Broward,33068.0,1
W-1124533,Fog,Moderate,2016-08-02 22:33:00,2016-08-02 22:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1108012,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between 14th St and 15th St. Average speed five mph.,2016-08-02 22:44:29,US/Eastern,26.212088,-80.106796,0.0,KPMP,1451.0,S Federal Hwy,R,Broward,33062.0,1
W-1124534,Rain,Light,2016-08-02 22:53:00,2016-08-03 00:21:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1108012,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between 14th St and 15th St. Average speed five mph.,2016-08-02 22:44:29,US/Eastern,26.212088,-80.106796,0.0,KPMP,1451.0,S Federal Hwy,R,Broward,33062.0,1
W-1124537,Rain,Light,2016-08-03 05:53:00,2016-08-03 07:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1108274,Congestion,3.0,73.0,Severe delays of ten minutes and delays increasing on Florida's Tpke Northbound between FL-91 and FL-814 Atlantic Blvd. Average speed 15 mph.,2016-08-03 07:06:52,US/Eastern,26.223757,-80.183891,0.0,KFXE,,Ronald Reagan Tpke,R,Broward,33069.0,1
W-1124541,Rain,Light,2016-08-04 20:37:00,2016-08-04 21:00:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1109343,Congestion,1.0,72.0,Delays of one minute on US-1 Federal Hwy Southbound between 28th St and 23rd St. Average speed ten mph.,2016-08-04 21:09:55,US/Eastern,26.258944,-80.099861,0.0,KPMP,2199.0,NE 23rd St,L,Broward,33064.0,1
